,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
3851,LSPM J2116+0234 b,58.0,13.3 Earths,10.86,2019,Neptune-like,0.331 x Jupiter,0.0876 AU,14.4 days,0.18
3852,LTT 1445 A b,22.0,2.2 Earths,11.22,2019,Super Earth,1.38 x Earth,0.03807 AU,5.4 days,0.19
3853,LTT 3780 b,72.0,2.62 Earths,13.07,2020,Super Earth,1.332 x Earth,0.01211 AU,0.8 days,0.0
3854,LTT 3780 c,72.0,8.6 Earths,13.07,2020,Super Earth,0.205 x Jupiter,0.07673 AU,12.3 days,0.06
3855,LTT 9779 b,263.0,29.32 Earths,9.758,2020,Neptune-like,0.421 x Jupiter,0.01679 AU,0.8 days,0.0
3856,Lupus-TR-3 b,6524.0,0.81 Jupiters,18.765,2007,Gas Giant,0.89 x Jupiter,0.0464 AU,3.9 days,0.0
3857,MASCARA-1 b,616.0,3.7 Jupiters,8.273,2017,Gas Giant,1.5 x Jupiter,0.043 AU,2.1 days,0.0
3858,MASCARA-4 b,560.0,3.1 Jupiters,8.19,2020,Gas Giant,1.53 x Jupiter,0.047 AU,2.8 days,0.0
3859,MOA-2007-BLG-192L b,3262.0,3.3 Earths,,2008,Super Earth,1.63 x Earth,0.62 AU,2 years,0.0
3860,MOA-2007-BLG-400L b,18920.0,0.83 Jupiters,,2008,Gas Giant,1.24 x Jupiter,0.72 AU,407.4 days,0.0
3861,MOA-2008-BLG-310L b,25117.0,23.4 Earths,,2009,Neptune-like,0.462 x Jupiter,1.61 AU,4.5 years,0.0
3862,MOA-2008-BLG-379L b,10765.0,4.1 Jupiters,,2013,Gas Giant,1.16 x Jupiter,2.7 AU,5.9 years,0.0
3863,MOA-2009-BLG-266L b,9916.0,10.4 Earths,,2011,Neptune-like,0.286 x Jupiter,3.2 AU,7.6 years,0.0
3864,MOA-2009-BLG-319L b,19898.0,0.16 Jupiters,,2010,Gas Giant,0.722 x Jupiter,2.4 AU,6 years,0.0
