,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
2442,Kepler-206 c,1973.0,3.78 Earths,13.461,2014,Super Earth,1.77 x Earth,0.111 AU,13.1 days,0.0
2443,Kepler-206 d,1973.0,1.81 Earths,13.461,2014,Super Earth,1.19 x Earth,0.163 AU,23.4 days,0.0
2444,Kepler-207 b,2930.0,3.09 Earths,13.167,2014,Super Earth,1.57 x Earth,0.029 AU,1.6 days,0.0
2445,Kepler-207 c,2930.0,2.86 Earths,13.167,2014,Super Earth,1.5 x Earth,0.044 AU,3.1 days,0.0
2446,Kepler-207 d,2930.0,11 Earths,13.167,2014,Neptune-like,0.295 x Jupiter,0.068 AU,5.9 days,0.0
2447,Kepler-208 b,2587.0,3.29 Earths,13.538,2014,Super Earth,1.63 x Earth,0.054 AU,4.2 days,0.0
2448,Kepler-208 c,2587.0,2.51 Earths,13.538,2014,Super Earth,1.39 x Earth,0.079 AU,7.5 days,0.0
2449,Kepler-208 d,2587.0,1.87 Earths,13.538,2014,Super Earth,1.2 x Earth,0.103 AU,11.1 days,0.0
2450,Kepler-208 e,2587.0,2.79 Earths,13.538,2014,Super Earth,1.48 x Earth,0.132 AU,16.3 days,0.0
2451,Kepler-209 b,1914.0,5.73 Earths,13.952,2014,Neptune-like,0.202 x Jupiter,0.122 AU,16.1 days,0.0
2452,Kepler-209 c,1914.0,9.8 Earths,13.952,2014,Neptune-like,0.277 x Jupiter,0.231 AU,41.7 days,0.0
2453,Kepler-20 b,929.0,9.7 Earths,12.51,2011,Super Earth,1.868 x Earth,0.0463 AU,3.7 days,0.03
2454,Kepler-20 c,929.0,12.75 Earths,12.51,2011,Neptune-like,0.272 x Jupiter,0.0949 AU,10.9 days,0.16
2455,Kepler-20 d,929.0,10.07 Earths,12.51,2011,Neptune-like,0.245 x Jupiter,0.3506 AU,77.6 days,< 0.6
2456,Kepler-20 e,929.0,3.08 Earths,12.51,2011,Terrestrial,0.865 x Earth,0.0639 AU,6.1 days,< 0.28
2457,Kepler-20 f,929.0,14.3 Earths,12.51,2011,Super Earth,1.003 x Earth,0.1396 AU,19.6 days,< 0.32
2458,Kepler-20 g,929.0,19.96 Earths,12.51,2016,Neptune-like,0.42 x Jupiter,0.2055 AU,34.9 days,0.15
2459,Kepler-210 b,764.0,8.96 Earths,13.804,2014,Neptune-like,0.262 x Jupiter,0.032 AU,2.5 days,0.0
2460,Kepler-210 c,764.0,12.8 Earths,13.804,2014,Neptune-like,0.323 x Jupiter,0.07 AU,8 days,0.0
2461,Kepler-211 b,1018.0,2.13 Earths,13.273,2014,Super Earth,1.26 x Earth,0.048 AU,4.1 days,0.0
2462,Kepler-211 c,1018.0,18.3 Earths,13.273,2014,Super Earth,1.29 x Earth,0.062 AU,6 days,0.0
2463,Kepler-212 b,2287.0,1.32 Earths,12.987,2014,Super Earth,1.09 x Earth,0.133 AU,16.3 days,0.0
2464,Kepler-212 c,2287.0,7.95 Earths,12.987,2014,Neptune-like,0.244 x Jupiter,0.207 AU,31.8 days,0.0
2465,Kepler-213 b,2110.0,3.26 Earths,13.602,2014,Super Earth,1.62 x Earth,0.036 AU,2.5 days,0.0
2466,Kepler-213 c,2110.0,6.08 Earths,13.602,2014,Neptune-like,0.209 x Jupiter,0.057 AU,4.8 days,0.0
2467,Kepler-214 b,4084.0,7.32 Earths,13.906,2014,Neptune-like,0.233 x Jupiter,0.13 AU,15.7 days,0.0
2468,Kepler-214 c,4084.0,5.18 Earths,13.906,2014,Neptune-like,2.13 x Earth,0.194 AU,28.8 days,0.0
2469,Kepler-215 b,1608.0,3.26 Earths,13.555,2014,Super Earth,1.62 x Earth,0.084 AU,9.4 days,0.0
2470,Kepler-215 c,1608.0,3.78 Earths,13.555,2014,Super Earth,1.77 x Earth,0.113 AU,14.7 days,0.0
2471,Kepler-215 d,1608.0,23.6 Earths,13.555,2014,Super Earth,0.213 x Jupiter,0.185 AU,30.9 days,0.0
2472,Kepler-215 e,1608.0,3.71 Earths,13.555,2014,Super Earth,1.75 x Earth,0.314 AU,68.2 days,0.0
2473,Kepler-216 b,4010.0,6.12 Earths,13.961,2014,Neptune-like,0.21 x Jupiter,0.079 AU,7.7 days,0.0
2474,Kepler-216 c,4010.0,9.48 Earths,13.961,2014,Neptune-like,0.271 x Jupiter,0.136 AU,17.4 days,0.0
2475,Kepler-217 b,3722.0,5.6 Earths,13.121,2014,Neptune-like,2.23 x Earth,0.065 AU,5.4 days,0.0
2476,Kepler-217 c,3722.0,4.08 Earths,13.121,2014,Super Earth,1.85 x Earth,0.089 AU,8.6 days,0.0
2477,Kepler-217 d,3722.0,2.3 Earths,13.121,2016,Super Earth,1.32 x Earth,Unknown,3.9 days,0.0
2478,Kepler-218 b,2182.0,2.79 Earths,13.907,2014,Super Earth,1.48 x Earth,0.046 AU,3.6 days,0.0
2479,Kepler-218 c,2182.0,10 Earths,13.907,2014,Neptune-like,0.28 x Jupiter,0.248 AU,44.7 days,0.0
2480,Kepler-218 d,2182.0,7.56 Earths,13.907,2016,Neptune-like,0.237 x Jupiter,Unknown,124.5 days,0.0
2481,Kepler-219 b,2627.0,9.01 Earths,13.718,2014,Neptune-like,0.263 x Jupiter,0.057 AU,4.6 days,0.0
2482,Kepler-219 c,2627.0,12.5 Earths,13.718,2014,Neptune-like,0.319 x Jupiter,0.165 AU,22.7 days,0.0
2483,Kepler-219 d,2627.0,19.1 Earths,13.718,2014,Super Earth,0.251 x Jupiter,0.272 AU,47.9 days,0.0
2484,Kepler-21 b,355.0,5.08 Earths,8.25,2012,Super Earth,1.639 x Earth,0.042717 AU,2.8 days,0.02
2485,Kepler-220 b,561.0,0.457 Earths,12.857,2014,Terrestrial,0.81 x Earth,0.046 AU,4.2 days,0.0
2486,Kepler-220 c,561.0,3.09 Earths,12.857,2014,Super Earth,1.57 x Earth,0.076 AU,9 days,0.0
2487,Kepler-220 d,561.0,0.904 Earths,12.857,2014,Terrestrial,0.98 x Earth,0.163 AU,28.1 days,0.0
2488,Kepler-220 e,561.0,2.33 Earths,12.857,2014,Super Earth,1.33 x Earth,0.226 AU,45.9 days,0.0
2489,Kepler-221 b,1271.0,3.57 Earths,13.749,2014,Super Earth,1.71 x Earth,0.037 AU,2.8 days,0.0
2490,Kepler-221 c,1271.0,15.1 Earths,13.749,2014,Super Earth,0.261 x Jupiter,0.059 AU,5.7 days,0.0
2491,Kepler-221 d,1271.0,7.9 Earths,13.749,2014,Neptune-like,0.244 x Jupiter,0.087 AU,10 days,0.0
2492,Kepler-221 e,1271.0,7.41 Earths,13.749,2014,Neptune-like,0.235 x Jupiter,0.13 AU,18.4 days,0.0
2493,Kepler-222 b,2530.0,10.1 Earths,15.06,2014,Neptune-like,0.282 x Jupiter,0.048 AU,3.9 days,0.0
2494,Kepler-222 c,2530.0,19.4 Earths,15.06,2014,Neptune-like,0.414 x Jupiter,0.091 AU,10.1 days,0.0
2495,Kepler-222 d,2530.0,13.2 Earths,15.06,2014,Neptune-like,0.329 x Jupiter,0.18 AU,28.1 days,0.0
2496,Kepler-223 b,6395.0,7.4 Earths,15.395,2014,Neptune-like,0.267 x Jupiter,0.073 AU,7.4 days,0.08
2497,Kepler-223 c,6395.0,5.1 Earths,15.395,2014,Neptune-like,0.307 x Jupiter,0.088 AU,9.8 days,0.15
2498,Kepler-223 d,6395.0,8 Earths,15.395,2014,Neptune-like,0.467 x Jupiter,0.116 AU,14.8 days,0.04
2499,Kepler-223 e,6395.0,4.8 Earths,15.395,2014,Neptune-like,0.41 x Jupiter,0.14 AU,19.7 days,0.05
2500,Kepler-224 b,2609.0,2.51 Earths,15.636,2014,Super Earth,1.39 x Earth,0.038 AU,3.1 days,0.0
2501,Kepler-224 c,2609.0,9.91 Earths,15.636,2014,Neptune-like,0.278 x Jupiter,0.058 AU,5.9 days,0.0
2502,Kepler-224 d,2609.0,5.9 Earths,15.636,2014,Neptune-like,0.205 x Jupiter,0.089 AU,11.3 days,0.0
2503,Kepler-224 e,2609.0,4.54 Earths,15.636,2014,Super Earth,1.97 x Earth,0.124 AU,18.6 days,0.0
2504,Kepler-225 b,1859.0,1.87 Earths,15.95,2014,Super Earth,1.2 x Earth,0.056 AU,6.7 days,0.0
2505,Kepler-225 c,1859.0,4.04 Earths,15.95,2014,Super Earth,1.84 x Earth,0.111 AU,18.8 days,0.0
2506,Kepler-226 b,3289.0,24 Earths,15.403,2014,Super Earth,1.55 x Earth,0.047 AU,3.9 days,0.0
2507,Kepler-226 c,3289.0,0.142 Jupiters,15.403,2014,Super Earth,0.203 x Jupiter,0.058 AU,5.3 days,0.0
2508,Kepler-226 d,3289.0,1.98 Earths,15.403,2014,Super Earth,1.22 x Earth,0.076 AU,8.1 days,0.0
2509,Kepler-227 b,3645.0,9.85 Earths,15.323,2014,Neptune-like,0.277 x Jupiter,0.09 AU,9.5 days,0.0
2510,Kepler-227 c,3645.0,9.48 Earths,15.323,2014,Neptune-like,0.271 x Jupiter,0.29 AU,54.4 days,0.0
2511,Kepler-228 b,5626.0,2.96 Earths,15.704,2014,Super Earth,1.53 x Earth,0.038 AU,2.6 days,0.0
2512,Kepler-228 c,5626.0,7.75 Earths,15.704,2014,Neptune-like,0.241 x Jupiter,0.052 AU,4.1 days,0.0
2513,Kepler-228 d,5626.0,15.4 Earths,15.704,2014,Neptune-like,0.36 x Jupiter,0.101 AU,11.1 days,0.0
2514,Kepler-229 b,2759.0,5.48 Earths,15.826,2014,Neptune-like,2.2 x Earth,0.062 AU,6.3 days,0.0
2515,Kepler-229 c,2759.0,21.5 Earths,15.826,2014,Neptune-like,0.439 x Jupiter,0.117 AU,16.1 days,0.0
2516,Kepler-229 d,2759.0,14.2 Earths,15.826,2014,Neptune-like,0.343 x Jupiter,0.22 AU,41.2 days,0.0
2517,Kepler-22 b,620.0,36 Earths,11.644,2011,Super Earth,0.212 x Jupiter,0.849 AU,289.9 days,0.0
2518,Kepler-230 b,2468.0,16.8 Earths,15.073,2014,Neptune-like,0.38 x Jupiter,0.191 AU,32.6 days,0.0
2519,Kepler-230 c,2468.0,4.82 Earths,15.073,2014,Super Earth,2.04 x Earth,0.38 AU,91.8 days,0.0
2520,Kepler-231 b,1042.0,35.4 Earths,15.39,2014,Super Earth,1.73 x Earth,0.074 AU,10.1 days,0.0
2521,Kepler-231 c,1042.0,24.1 Earths,15.39,2014,Super Earth,1.93 x Earth,0.114 AU,19.3 days,0.0
2522,Kepler-232 b,4576.0,9.69 Earths,15.32,2014,Neptune-like,0.275 x Jupiter,0.054 AU,4.4 days,0.0
2523,Kepler-232 c,4576.0,14 Earths,15.32,2014,Neptune-like,0.342 x Jupiter,0.101 AU,11.4 days,0.0
2524,Kepler-233 b,2863.0,6.48 Earths,15.326,2014,Neptune-like,0.217 x Jupiter,0.077 AU,8.5 days,0.0
2525,Kepler-233 c,2863.0,7.8 Earths,15.326,2014,Neptune-like,0.242 x Jupiter,0.287 AU,60.4 days,0.0
2526,Kepler-234 b,5940.0,13.2 Earths,15.501,2014,Neptune-like,0.33 x Jupiter,0.04 AU,2.7 days,0.0
2527,Kepler-234 c,5940.0,12.1 Earths,15.501,2014,Neptune-like,0.313 x Jupiter,0.077 AU,7.2 days,0.0
2528,Kepler-235 b,1413.0,5.6 Earths,15.969,2014,Neptune-like,2.23 x Earth,0.037 AU,3.3 days,0.0
2529,Kepler-235 c,1413.0,2.18 Earths,15.969,2014,Super Earth,1.28 x Earth,0.065 AU,7.8 days,0.0
2530,Kepler-235 d,1413.0,4.86 Earths,15.969,2014,Super Earth,2.05 x Earth,0.122 AU,20.1 days,0.0
2531,Kepler-235 e,1413.0,5.56 Earths,15.969,2014,Neptune-like,2.22 x Earth,0.213 AU,46.2 days,0.0
2532,Kepler-236 b,950.0,3.09 Earths,15.374,2014,Super Earth,1.57 x Earth,0.065 AU,8.3 days,0.0
2533,Kepler-236 c,950.0,4.66 Earths,15.374,2014,Super Earth,2.0 x Earth,0.132 AU,24 days,0.0
2534,Kepler-237 b,2187.0,2.57 Earths,15.283,2014,Super Earth,1.41 x Earth,0.05 AU,4.7 days,0.0
2535,Kepler-237 c,2187.0,4.98 Earths,15.283,2014,Super Earth,2.08 x Earth,0.071 AU,8.1 days,0.0
2536,Kepler-238 b,6190.0,3.64 Earths,15.024,2014,Super Earth,1.73 x Earth,0.034 AU,2.1 days,0.0
2537,Kepler-238 c,6190.0,6.3 Earths,15.024,2014,Neptune-like,0.213 x Jupiter,0.069 AU,6.2 days,0.0
2538,Kepler-238 d,6190.0,9.64 Earths,15.024,2014,Neptune-like,0.274 x Jupiter,0.115 AU,13.2 days,0.0
2539,Kepler-238 e,6190.0,0.534 Jupiters,15.024,2013,Neptune-like,0.5 x Jupiter,Unknown,23.7 days,0.0
2540,Kepler-238 f,6190.0,13.5 Earths,15.024,2013,Super Earth,2.0 x Earth,Unknown,50.4 days,0.0
2541,Kepler-239 b,2153.0,6.04 Earths,15.233,2014,Neptune-like,0.208 x Jupiter,0.095 AU,11.8 days,0.0
2542,Kepler-239 c,2153.0,6.85 Earths,15.233,2014,Neptune-like,0.224 x Jupiter,0.268 AU,56.2 days,0.0
2543,Kepler-23 b,2793.0,0.8 Jupiters,13.401,2011,Neptune-like,1.9 x Earth,0.075 AU,7.1 days,0.06
2544,Kepler-23 c,2793.0,2.7 Jupiters,13.401,2011,Neptune-like,0.285 x Jupiter,0.099 AU,10.7 days,0.02
2545,Kepler-23 d,2793.0,17.6 Earths,13.401,2014,Super Earth,2.2 x Earth,0.124 AU,15.3 days,0.08
2546,Kepler-240 b,2488.0,2.45 Earths,15.662,2014,Super Earth,1.37 x Earth,0.048 AU,4.1 days,0.0
2547,Kepler-240 c,2488.0,0.322 Jupiters,15.662,2014,Super Earth,2.2 x Earth,0.074 AU,8 days,0.0
2548,Kepler-241 b,1989.0,6.04 Earths,15.387,2014,Neptune-like,0.208 x Jupiter,0.094 AU,12.7 days,0.0
2549,Kepler-241 c,1989.0,7.13 Earths,15.387,2014,Neptune-like,0.229 x Jupiter,0.189 AU,36.1 days,0.0
2550,Kepler-242 b,1992.0,7.32 Earths,15.349,2014,Neptune-like,0.233 x Jupiter,0.075 AU,8.2 days,0.0
2551,Kepler-242 c,1992.0,4.66 Earths,15.349,2014,Super Earth,2.0 x Earth,0.109 AU,14.5 days,0.0
2552,Kepler-243 b,2309.0,6.57 Earths,15.057,2014,Neptune-like,0.219 x Jupiter,0.062 AU,5.7 days,0.0
2553,Kepler-243 c,2309.0,4.62 Earths,15.057,2014,Super Earth,1.99 x Earth,0.142 AU,20 days,0.0
2554,Kepler-244 b,3483.0,8.05 Earths,15.545,2014,Neptune-like,0.246 x Jupiter,0.05 AU,4.3 days,0.0
2555,Kepler-244 c,3483.0,4.86 Earths,15.545,2014,Super Earth,2.05 x Earth,0.087 AU,9.8 days,0.0
2556,Kepler-244 d,3483.0,15.2 Earths,15.545,2014,Super Earth,0.206 x Jupiter,0.14 AU,20.1 days,0.0
2557,Kepler-245 b,2879.0,7.13 Earths,15.597,2014,Neptune-like,0.229 x Jupiter,0.071 AU,7.5 days,0.0
2558,Kepler-245 c,2879.0,0.71 Jupiters,15.597,2014,Super Earth,2.18 x Earth,0.124 AU,17.5 days,0.0
2559,Kepler-245 d,2879.0,21.6 Earths,15.597,2014,Neptune-like,0.27 x Jupiter,0.202 AU,36.3 days,0.0
2560,Kepler-245 e,2879.0,3.71 Earths,15.597,2016,Super Earth,1.75 x Earth,Unknown,3.2 days,0.0
2561,Kepler-246 b,2079.0,6.08 Earths,15.042,2014,Neptune-like,0.209 x Jupiter,0.052 AU,4.6 days,0.0
2562,Kepler-246 c,2079.0,2.86 Earths,15.042,2014,Super Earth,1.5 x Earth,0.095 AU,11.2 days,0.0
2563,Kepler-247 b,2206.0,3.33 Earths,15.047,2014,Super Earth,1.64 x Earth,0.042 AU,3.3 days,0.0
2564,Kepler-247 c,2206.0,15.7 Earths,15.047,2014,Neptune-like,0.365 x Jupiter,0.084 AU,9.4 days,0.0
2565,Kepler-247 d,2206.0,14.7 Earths,15.047,2014,Neptune-like,0.352 x Jupiter,0.14 AU,20.5 days,0.0
2566,Kepler-248 b,2462.0,9.38 Earths,15.233,2014,Neptune-like,0.269 x Jupiter,0.066 AU,6.3 days,0.0
2567,Kepler-248 c,2462.0,15.6 Earths,15.233,2014,Neptune-like,0.363 x Jupiter,0.123 AU,16.2 days,0.0
2568,Kepler-249 b,624.0,1.32 Earths,15.23,2014,Super Earth,1.09 x Earth,0.035 AU,3.3 days,0.0
2569,Kepler-249 c,624.0,2.89 Earths,15.23,2014,Super Earth,1.51 x Earth,0.058 AU,7.1 days,0.0
2570,Kepler-249 d,624.0,3.09 Earths,15.23,2014,Super Earth,1.57 x Earth,0.097 AU,15.4 days,0.0
2571,Kepler-24 b,3901.0,1.6 Jupiters,14.923,2011,Neptune-like,0.214 x Jupiter,0.08 AU,8.1 days,0.0
2572,Kepler-24 c,3901.0,1.6 Jupiters,14.923,2011,Neptune-like,0.25 x Jupiter,0.106 AU,12.3 days,0.0
2573,Kepler-24 d,3901.0,3.43 Earths,14.923,2014,Super Earth,1.67 x Earth,0.051 AU,4.2 days,0.0
2574,Kepler-24 e,3901.0,8.15 Earths,14.923,2014,Neptune-like,0.248 x Jupiter,0.138 AU,19 days,0.0
2575,Kepler-250 b,2536.0,1.51 Earths,15.414,2014,Super Earth,1.13 x Earth,0.048 AU,4.1 days,0.0
2576,Kepler-250 c,2536.0,5.82 Earths,15.414,2014,Neptune-like,0.203 x Jupiter,0.069 AU,7.2 days,0.0
2577,Kepler-250 d,2536.0,5.39 Earths,15.414,2014,Neptune-like,2.18 x Earth,0.127 AU,17.6 days,0.0
2578,Kepler-251 b,3096.0,2.33 Earths,15.216,2014,Super Earth,1.33 x Earth,0.053 AU,4.8 days,0.0
2579,Kepler-251 c,3096.0,8.1 Earths,15.216,2014,Neptune-like,0.247 x Jupiter,0.122 AU,16.5 days,0.0
2580,Kepler-251 d,3096.0,8.1 Earths,15.216,2014,Neptune-like,0.247 x Jupiter,0.182 AU,30.1 days,0.0
2581,Kepler-251 e,3096.0,8.1 Earths,15.216,2014,Neptune-like,0.247 x Jupiter,0.404 AU,99.6 days,0.0
2582,Kepler-252 b,1251.0,2.04 Earths,15.029,2014,Super Earth,1.23 x Earth,0.058 AU,6.7 days,0.0
2583,Kepler-252 c,1251.0,5.27 Earths,15.029,2014,Neptune-like,2.15 x Earth,0.08 AU,10.8 days,0.0
2584,Kepler-253 b,2802.0,3.29 Earths,15.512,2014,Super Earth,1.63 x Earth,0.046 AU,3.8 days,0.0
2585,Kepler-253 c,2802.0,7.51 Earths,15.512,2014,Neptune-like,0.236 x Jupiter,0.089 AU,10.3 days,0.0
2586,Kepler-253 d,2802.0,10.2 Earths,15.512,2014,Neptune-like,0.283 x Jupiter,0.13 AU,18.1 days,0.0
2587,Kepler-254 b,4718.0,14.3 Earths,15.838,2014,Neptune-like,0.345 x Jupiter,0.064 AU,5.8 days,0.0
2588,Kepler-254 c,4718.0,3.2 Earths,15.838,2014,Neptune-like,2.15 x Earth,0.105 AU,12.4 days,0.0
2589,Kepler-254 d,4718.0,6.8 Earths,15.838,2014,Neptune-like,0.223 x Jupiter,0.139 AU,18.7 days,0.0
2590,Kepler-255 b,3538.0,3.02 Earths,15.528,2014,Super Earth,1.55 x Earth,0.063 AU,5.7 days,0.0
2591,Kepler-255 c,3538.0,9.22 Earths,15.528,2014,Neptune-like,0.267 x Jupiter,0.092 AU,9.9 days,0.0
2592,Kepler-255 d,3538.0,2.3 Earths,15.528,2016,Super Earth,1.32 x Earth,Unknown,1 days,0.0
2593,Kepler-256 b,3449.0,3.15 Earths,15.015,2014,Super Earth,1.59 x Earth,0.027 AU,1.6 days,0.0
2594,Kepler-256 c,3449.0,5.27 Earths,15.015,2014,Neptune-like,2.15 x Earth,0.045 AU,3.4 days,0.0
2595,Kepler-256 d,3449.0,6.71 Earths,15.015,2014,Neptune-like,0.221 x Jupiter,0.064 AU,5.8 days,0.0
2596,Kepler-256 e,3449.0,6.12 Earths,15.015,2014,Neptune-like,0.21 x Jupiter,0.096 AU,10.7 days,0.0
2597,Kepler-257 b,2602.0,7.32 Earths,15.422,2014,Neptune-like,0.233 x Jupiter,0.034 AU,2.4 days,0.0
2598,Kepler-257 c,2602.0,25.2 Earths,15.422,2014,Neptune-like,0.483 x Jupiter,0.066 AU,6.6 days,0.0
2599,Kepler-257 d,2602.0,21.7 Earths,15.422,2014,Neptune-like,0.442 x Jupiter,0.16 AU,24.7 days,0.0
2600,Kepler-258 b,1910.0,15.5 Earths,15.201,2014,Neptune-like,0.362 x Jupiter,0.103 AU,13.2 days,0.0
2601,Kepler-258 c,1910.0,12.7 Earths,15.201,2014,Neptune-like,0.322 x Jupiter,0.193 AU,33.7 days,0.0
2602,Kepler-259 b,3365.0,8.25 Earths,15.169,2014,Neptune-like,0.25 x Jupiter,0.079 AU,8.1 days,0.0
2603,Kepler-259 c,3365.0,7.75 Earths,15.169,2014,Neptune-like,0.241 x Jupiter,0.217 AU,36.9 days,0.0
2604,Kepler-25 b,799.0,8.7 Earths,10.632,2011,Neptune-like,0.245 x Jupiter,0.068 AU,6.2 days,0.0
2605,Kepler-25 c,799.0,15.2 Earths,10.632,2011,Neptune-like,0.465 x Jupiter,0.11 AU,12.7 days,0.01
2606,Kepler-25 d,799.0,0.226 Jupiters,10.632,2014,Gas Giant,0.894 x Jupiter,Unknown,122.4 days,0.13
2607,Kepler-260 b,2084.0,4.7 Earths,14.118,2014,Super Earth,2.01 x Earth,0.075 AU,8.2 days,0.0
2608,Kepler-260 c,2084.0,3.68 Earths,14.118,2014,Super Earth,1.74 x Earth,0.332 AU,76.1 days,0.0
2609,Kepler-261 b,1045.0,5.39 Earths,13.529,2014,Neptune-like,2.18 x Earth,0.088 AU,10.4 days,0.0
2610,Kepler-261 c,1045.0,4.66 Earths,13.529,2014,Super Earth,2.0 x Earth,0.156 AU,24.6 days,0.0
2611,Kepler-262 b,2036.0,2.42 Earths,14.224,2014,Super Earth,1.36 x Earth,0.108 AU,13.1 days,0.0
2612,Kepler-262 c,2036.0,3.33 Earths,14.224,2014,Super Earth,1.64 x Earth,0.152 AU,21.9 days,0.0
2613,Kepler-263 b,2515.0,7.61 Earths,15.417,2014,Neptune-like,0.238 x Jupiter,0.12 AU,16.6 days,0.0
2614,Kepler-263 c,2515.0,6.66 Earths,15.417,2014,Neptune-like,0.22 x Jupiter,0.242 AU,47.3 days,0.0
2615,Kepler-264 b,3158.0,11.1 Earths,13.013,2014,Neptune-like,0.297 x Jupiter,0.249 AU,40.8 days,0.0
2616,Kepler-264 c,3158.0,8.4 Earths,13.013,2014,Neptune-like,0.252 x Jupiter,0.566 AU,140.1 days,0.0
2617,Kepler-265 b,4333.0,4.12 Earths,15.352,2014,Super Earth,1.86 x Earth,0.069 AU,6.8 days,0.0
2618,Kepler-265 c,4333.0,7.41 Earths,15.352,2014,Neptune-like,0.235 x Jupiter,0.127 AU,17 days,0.0
2619,Kepler-265 d,4333.0,6.76 Earths,15.352,2014,Neptune-like,0.222 x Jupiter,0.236 AU,43.1 days,0.0
2620,Kepler-265 e,4333.0,7.22 Earths,15.352,2014,Neptune-like,0.231 x Jupiter,0.319 AU,67.8 days,0.0
2621,Kepler-266 b,4649.0,6.71 Earths,15.577,2014,Neptune-like,0.221 x Jupiter,0.071 AU,6.6 days,0.0
2622,Kepler-266 c,4649.0,14.4 Earths,15.577,2014,Neptune-like,0.347 x Jupiter,0.457 AU,107.7 days,0.0
2623,Kepler-267 b,871.0,37.9 Earths,15.469,2014,Super Earth,1.98 x Earth,0.037 AU,3.4 days,0.0
2624,Kepler-267 c,871.0,5.18 Earths,15.469,2014,Neptune-like,2.13 x Earth,0.06 AU,6.9 days,0.0
2625,Kepler-267 d,871.0,5.77 Earths,15.469,2014,Neptune-like,0.203 x Jupiter,0.154 AU,28.5 days,0.0
2626,Kepler-268 b,2848.0,7.04 Earths,13.668,2014,Neptune-like,0.227 x Jupiter,0.18 AU,25.9 days,0.0
2627,Kepler-268 c,2848.0,11.4 Earths,13.668,2014,Neptune-like,0.302 x Jupiter,0.391 AU,83.4 days,0.0
2628,Kepler-269 b,7890.0,6.66 Earths,15.735,2014,Neptune-like,0.22 x Jupiter,0.061 AU,5.3 days,0.0
2629,Kepler-269 c,7890.0,3.5 Earths,15.735,2014,Super Earth,1.69 x Earth,0.081 AU,8.1 days,0.0
2630,Kepler-26 b,1104.0,5.12 Earths,15.409,2011,Neptune-like,0.248 x Jupiter,0.08551 AU,12.3 days,0.0
2631,Kepler-26 c,1104.0,6.2 Earths,15.409,2011,Neptune-like,0.243 x Jupiter,0.10725 AU,17.3 days,0.0
2632,Kepler-26 d,1104.0,1.24 Earths,15.409,2014,Super Earth,1.07 x Earth,0.039 AU,3.5 days,0.0
2633,Kepler-26 e,1104.0,6.39 Earths,15.409,2014,Neptune-like,0.215 x Jupiter,0.22 AU,46.8 days,0.0
2634,Kepler-270 b,3182.0,4.7 Earths,13.859,2014,Super Earth,2.01 x Earth,0.107 AU,11.5 days,0.0
2635,Kepler-270 c,3182.0,3.78 Earths,13.859,2014,Super Earth,1.77 x Earth,0.18 AU,25.3 days,0.0
2636,Kepler-271 b,1364.0,2.04 Earths,13.428,2014,Super Earth,1.23 x Earth,0.056 AU,10.4 days,0.0
2637,Kepler-271 c,1364.0,0.809 Earths,13.428,2014,Terrestrial,0.95 x Earth,0.071 AU,7.4 days,0.0
2638,Kepler-271 d,1364.0,0.219 Earths,13.428,2016,Terrestrial,0.66 x Earth,Unknown,5.2 days,0.0
2639,Kepler-272 b,2978.0,0.245 Jupiters,14.659,2014,Super Earth,1.43 x Earth,0.038 AU,3 days,0.0
2640,Kepler-272 c,2978.0,0.308 Jupiters,14.659,2014,Super Earth,1.79 x Earth,0.061 AU,6.1 days,0.0
2641,Kepler-272 d,2978.0,5.69 Earths,14.659,2014,Neptune-like,0.201 x Jupiter,0.091 AU,10.9 days,0.0
2642,Kepler-273 b,2378.0,2.86 Earths,14.968,2014,Super Earth,1.5 x Earth,0.037 AU,2.9 days,0.0
2643,Kepler-273 c,2378.0,4.58 Earths,14.968,2014,Super Earth,1.98 x Earth,0.073 AU,8 days,0.0
2644,Kepler-274 b,4520.0,2.99 Earths,15.032,2014,Super Earth,1.54 x Earth,0.101 AU,11.6 days,0.0
2645,Kepler-274 c,4520.0,4.04 Earths,15.032,2014,Super Earth,1.84 x Earth,0.204 AU,33.2 days,0.0
2646,Kepler-275 b,7030.0,6.08 Earths,15.287,2014,Neptune-like,0.209 x Jupiter,0.098 AU,10.3 days,0.0
2647,Kepler-275 c,7030.0,11.4 Earths,15.287,2014,Neptune-like,0.302 x Jupiter,0.132 AU,16.1 days,0.0
2648,Kepler-275 d,7030.0,11.1 Earths,15.287,2014,Neptune-like,0.297 x Jupiter,0.224 AU,35.7 days,0.0
2649,Kepler-276 b,3855.0,8.6 Earths,15.365,2014,Neptune-like,0.256 x Jupiter,0.119 AU,14.1 days,0.0
2650,Kepler-276 c,3855.0,16.6 Earths,15.365,2013,Super Earth,0.259 x Jupiter,Unknown,31.9 days,0.0
2651,Kepler-276 d,3855.0,16.3 Earths,15.365,2013,Super Earth,0.25 x Jupiter,Unknown,48.6 days,0.0
2652,Kepler-277 b,3278.0,0.275 Jupiters,13.388,2013,Gas Giant,0.261 x Jupiter,Unknown,17.3 days,0.0
2653,Kepler-277 c,3278.0,0.202 Jupiters,13.388,2013,Gas Giant,0.3 x Jupiter,Unknown,33 days,0.0
